CallCnt,ScreenCnt,AppCnt,BatteryValue
CALLS1_below_0,SCREEN01_below_4,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN01_below_4,APPS01_below_19,BATT08_68_80
CALLS2_0_1,SCREEN05_12_18,APPS01_below_19,BATT07_52_68
CALLS2_0_1,SCREEN05_12_18,APPS01_below_19,BATT07_52_68
CALLS2_0_1,SCREEN05_12_18,APPS01_below_19,BATT07_52_68
CALLS2_0_1,SCREEN05_12_18,APPS01_below_19,BATT07_52_68
CALLS2_0_1,SCREEN05_12_18,APPS01_below_19,BATT07_52_68
CALLS2_0_1,SCREEN05_12_18,APPS01_below_19,BATT07_52_68
CALLS2_0_1,SCREEN05_12_18,APPS01_below_19,BATT07_52_68
CALLS2_0_1,SCREEN05_12_18,APPS01_below_19,BATT07_52_68
CALLS2_0_1,SCREEN05_12_18,APPS01_below_19,BATT07_52_68
CALLS2_0_1,SCREEN05_12_18,APPS01_below_19,BATT07_52_68
CALLS2_0_1,SCREEN05_12_18,APPS01_below_19,BATT07_52_68
CALLS2_0_1,SCREEN05_12_18,APPS01_below_19,BATT06_38_52
CALLS2_0_1,SCREEN05_12_18,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN06_18_27,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN06_18_27,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN06_18_27,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN06_18_27,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN06_18_27,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN06_18_27,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN06_18_27,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN06_18_27,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN06_18_27,APPS01_below_19,BATT06_38_52
CALLS4_2_4,SCREEN08_39_53,APPS10_969_up,BATT07_52_68
CALLS4_2_4,SCREEN08_39_53,APPS10_969_up,BATT07_52_68
CALLS1_below_0,SCREEN06_18_27,APPS07_526_638,BATT04_20_27
CALLS1_below_0,SCREEN06_18_27,APPS07_526_638,BATT04_20_27
CALLS1_below_0,SCREEN06_18_27,APPS07_526_638,BATT04_20_27
CALLS1_below_0,SCREEN06_18_27,APPS07_526_638,BATT04_20_27
CALLS3_1_2,SCREEN07_27_39,APPS10_969_up,BATT03_16_20
CALLS3_1_2,SCREEN07_27_39,APPS10_969_up,BATT05_27_38
CALLS3_1_2,SCREEN07_27_39,APPS10_969_up,BATT05_27_38
CALLS3_1_2,SCREEN07_27_39,APPS10_969_up,BATT05_27_38
CALLS3_1_2,SCREEN07_27_39,APPS10_969_up,BATT05_27_38
CALLS3_1_2,SCREEN07_27_39,APPS10_969_up,BATT05_27_38
CALLS3_1_2,SCREEN07_27_39,APPS10_969_up,BATT05_27_38
CALLS3_1_2,SCREEN07_27_39,APPS10_969_up,BATT05_27_38
CALLS3_1_2,SCREEN07_27_39,APPS10_969_up,BATT07_52_68
CALLS3_1_2,SCREEN07_27_39,APPS10_969_up,BATT07_52_68
CALLS3_1_2,SCREEN07_27_39,APPS10_969_up,BATT07_52_68
CALLS3_1_2,SCREEN07_27_39,APPS10_969_up,BATT08_68_80
CALLS3_1_2,SCREEN07_27_39,APPS10_969_up,BATT08_68_80
CALLS3_1_2,SCREEN07_27_39,APPS10_969_up,BATT08_68_80
CALLS3_1_2,SCREEN07_27_39,APPS10_969_up,BATT08_68_80
CALLS3_1_2,SCREEN07_27_39,APPS10_969_up,BATT08_68_80
CALLS3_1_2,SCREEN07_27_39,APPS10_969_up,BATT08_68_80
CALLS3_1_2,SCREEN07_27_39,APPS10_969_up,BATT08_68_80
CALLS3_1_2,SCREEN07_27_39,APPS10_969_up,BATT08_68_80
CALLS3_1_2,SCREEN07_27_39,APPS10_969_up,BATT08_68_80
CALLS3_1_2,SCREEN07_27_39,APPS10_969_up,BATT08_68_80
CALLS4_2_4,SCREEN07_27_39,APPS09_799_969,BATT10_91_up
CALLS4_2_4,SCREEN07_27_39,APPS09_799_969,BATT10_91_up
CALLS1_below_0,SCREEN05_12_18,APPS10_969_up,BATT10_91_up
CALLS1_below_0,SCREEN05_12_18,APPS10_969_up,BATT10_91_up
CALLS1_below_0,SCREEN05_12_18,APPS10_969_up,BATT10_91_up
CALLS1_below_0,SCREEN05_12_18,APPS10_969_up,BATT05_27_38
CALLS1_below_0,SCREEN05_12_18,APPS10_969_up,BATT05_27_38
CALLS1_below_0,SCREEN05_12_18,APPS10_969_up,BATT05_27_38
CALLS1_below_0,SCREEN05_12_18,APPS10_969_up,BATT05_27_38
CALLS1_below_0,SCREEN05_12_18,APPS10_969_up,BATT05_27_38
CALLS1_below_0,SCREEN05_12_18,APPS10_969_up,BATT05_27_38
CALLS1_below_0,SCREEN05_12_18,APPS10_969_up,BATT05_27_38
CALLS1_below_0,SCREEN05_12_18,APPS10_969_up,BATT05_27_38
CALLS1_below_0,SCREEN05_12_18,APPS10_969_up,BATT05_27_38
CALLS1_below_0,SCREEN05_12_18,APPS10_969_up,BATT05_27_38
CALLS1_below_0,SCREEN05_12_18,APPS10_969_up,BATT05_27_38
CALLS1_below_0,SCREEN05_12_18,APPS10_969_up,BATT05_27_38
CALLS1_below_0,SCREEN05_12_18,APPS10_969_up,BATT05_27_38
CALLS1_below_0,SCREEN05_12_18,APPS10_969_up,BATT05_27_38
CALLS1_below_0,SCREEN05_12_18,APPS10_969_up,BATT05_27_38
CALLS1_below_0,SCREEN05_12_18,APPS10_969_up,BATT09_80_91
CALLS1_below_0,SCREEN05_12_18,APPS10_969_up,BATT09_80_91
CALLS1_below_0,SCREEN05_12_18,APPS10_969_up,BATT09_80_91
CALLS1_below_0,SCREEN05_12_18,APPS10_969_up,BATT09_80_91
CALLS1_below_0,SCREEN06_18_27,APPS10_969_up,BATT10_91_up
CALLS1_below_0,SCREEN06_18_27,APPS10_969_up,BATT10_91_up
