Content Load,Page Load,Blocked,DNS,Connect,Send,Wait,Receive,Body Size Request,Body Size Response,Header Size Request,Header Size Response,Total Size Request,Total Size Response,Total HTTP Timings
CL01_below_535,PL01_below_648,260,0,0,0,380,0,0,0,498,0,TRTS02_426_573,TRES01_below_2559,THTTP04_626_859
CL01_below_535,PL01_below_648,0,0,0,0,310,90,0,24659,535,229,TRTS02_426_573,TRES08_21342_27797,THTTP02_177_412
CL02_535_1268,PL04_2484_3223,112,0,0,1,112,0,0,261,280,233,TRTS01_below_426,TRES01_below_2559,THTTP02_177_412
CL02_535_1268,PL02_648_1691,3,0,0,0,142,631,0,19056,649,615,TRTS03_573_737,TRES07_17040_21342,THTTP04_626_859
CL03_1268_1833,PL03_1691_2484,84,0,0,0,190,60,552,8827,398,271,TRTS05_925_1189,TRES03_6035_9486,THTTP02_177_412
CL03_1268_1833,PL02_648_1691,69,0,0,0,188,27,552,8827,398,271,TRTS05_925_1189,TRES03_6035_9486,THTTP02_177_412
CL04_1833_2430,PL03_1691_2484,147,0,0,0,376,864,549,8826,397,271,TRTS05_925_1189,TRES03_6035_9486,THTTP06_1130_1411
CL02_535_1268,PL02_648_1691,68,0,0,0,225,38,549,8826,397,271,TRTS05_925_1189,TRES03_6035_9486,THTTP02_177_412
CL02_535_1268,PL02_648_1691,4,0,0,0,62,369,0,30053,775,594,TRTS04_737_925,TRES09_27797_36658,THTTP03_412_626
CL04_1833_2430,PL03_1691_2484,7,0,0,0,34,1,0,346,864,1214,TRTS04_737_925,TRES01_below_2559,THTTP01_below_177
CL02_535_1268,PL02_648_1691,5,0,0,0,149,495,0,40101,355,986,TRTS01_below_426,TRES10_36658_up,THTTP04_626_859
CL01_below_535,PL01_below_648,13,0,0,0,63,0,0,289,716,409,TRTS03_573_737,TRES01_below_2559,THTTP01_below_177
CL05_2430_3062,PL06_4071_5255,354,0,0,0,518,5,0,11175,547,643,TRTS02_426_573,TRES04_9486_12576,THTTP05_859_1130
CL03_1268_1833,PL03_1691_2484,13,0,0,0,430,4,0,5764,496,457,TRTS02_426_573,TRES03_6035_9486,THTTP03_412_626
CL04_1833_2430,PL05_3223_4071,5,0,0,0,894,3,0,6854,1165,457,TRTS05_925_1189,TRES03_6035_9486,THTTP05_859_1130
CL01_below_535,PL01_below_648,5,0,0,0,268,3,0,20,1237,497,TRTS06_1189_1486,TRES01_below_2559,THTTP02_177_412
CL03_1268_1833,PL02_648_1691,13,0,0,0,1020,8,0,11372,417,880,TRTS01_below_426,TRES04_9486_12576,THTTP05_859_1130
CL02_535_1268,PL02_648_1691,10,0,0,0,218,573,0,40826,1229,458,TRTS06_1189_1486,TRES10_36658_up,THTTP04_626_859
CL01_below_535,PL01_below_648,13,0,0,1,168,0,0,285,739,404,TRTS04_737_925,TRES01_below_2559,THTTP02_177_412
CL01_below_535,PL01_below_648,0,0,0,0,1357,0,0,0,623,419,TRTS03_573_737,TRES01_below_2559,THTTP06_1130_1411
CL02_535_1268,PL02_648_1691,0,0,0,0,342,0,0,0,502,447,TRTS02_426_573,TRES01_below_2559,THTTP02_177_412
CL02_535_1268,PL02_648_1691,5,0,0,0,222,694,0,16800,617,626,TRTS03_573_737,TRES07_17040_21342,THTTP05_859_1130
CL01_below_535,PL01_below_648,9,0,0,0,207,0,0,401,805,503,TRTS04_737_925,TRES01_below_2559,THTTP02_177_412
CL10_7536_up,PL09_9947_14346,4,0,0,0,263,60,0,21222,704,408,TRTS03_573_737,TRES08_21342_27797,THTTP02_177_412
CL07_3812_4813,PL06_4071_5255,311,0,0,0,415,1,0,6195,1091,745,TRTS05_925_1189,TRES03_6035_9486,THTTP04_626_859
CL02_535_1268,PL02_648_1691,5,0,0,0,242,200,0,5177,1231,745,TRTS06_1189_1486,TRES02_2559_6035,THTTP03_412_626
CL02_535_1268,PL02_648_1691,4,0,0,0,323,46,0,8102,1255,745,TRTS06_1189_1486,TRES03_6035_9486,THTTP02_177_412
CL02_535_1268,PL02_648_1691,3,0,0,0,372,49,0,8422,1308,745,TRTS06_1189_1486,TRES03_6035_9486,THTTP03_412_626
CL02_535_1268,PL02_648_1691,3,0,0,0,292,1,0,5945,1334,745,TRTS06_1189_1486,TRES03_6035_9486,THTTP02_177_412
CL03_1268_1833,PL03_1691_2484,4,0,0,0,606,14,0,12657,1295,745,TRTS06_1189_1486,TRES05_12576_14735,THTTP03_412_626
CL02_535_1268,PL02_648_1691,4,0,0,0,303,21,0,12024,1255,745,TRTS06_1189_1486,TRES05_12576_14735,THTTP02_177_412
CL02_535_1268,PL02_648_1691,4,0,0,0,439,15,0,11202,1467,877,TRTS06_1189_1486,TRES04_9486_12576,THTTP03_412_626
CL03_1268_1833,PL03_1691_2484,4,0,0,1,519,16,0,12862,1787,877,TRTS08_1724_2020,TRES05_12576_14735,THTTP03_412_626
CL02_535_1268,PL02_648_1691,5,0,0,0,321,19,0,12717,1762,807,TRTS08_1724_2020,TRES05_12576_14735,THTTP02_177_412
CL02_535_1268,PL02_648_1691,5,0,0,0,522,23,0,10867,1601,1378,TRTS07_1486_1724,TRES04_9486_12576,THTTP03_412_626
CL02_535_1268,PL02_648_1691,4,0,0,0,428,36,0,12651,1762,877,TRTS08_1724_2020,TRES05_12576_14735,THTTP03_412_626
CL03_1268_1833,PL02_648_1691,9,0,0,0,419,11,0,12068,1762,877,TRTS08_1724_2020,TRES05_12576_14735,THTTP03_412_626
CL03_1268_1833,PL03_1691_2484,9,0,0,0,749,25,0,11404,1762,896,TRTS08_1724_2020,TRES04_9486_12576,THTTP04_626_859
CL02_535_1268,PL02_648_1691,4,0,0,0,324,25,0,10350,1762,877,TRTS08_1724_2020,TRES04_9486_12576,THTTP02_177_412
CL03_1268_1833,PL02_648_1691,4,0,0,0,678,5,0,12109,1762,877,TRTS08_1724_2020,TRES05_12576_14735,THTTP04_626_859
CL02_535_1268,PL02_648_1691,5,0,0,0,340,21,0,10209,1762,877,TRTS08_1724_2020,TRES04_9486_12576,THTTP02_177_412
CL03_1268_1833,PL02_648_1691,4,0,0,0,776,13,0,10124,1762,877,TRTS08_1724_2020,TRES04_9486_12576,THTTP04_626_859
CL03_1268_1833,PL02_648_1691,4,0,0,0,576,70,0,11552,1763,877,TRTS08_1724_2020,TRES04_9486_12576,THTTP04_626_859
CL03_1268_1833,PL02_648_1691,4,0,0,0,749,4,0,11401,1765,877,TRTS08_1724_2020,TRES04_9486_12576,THTTP04_626_859
CL02_535_1268,PL02_648_1691,3,0,0,0,335,0,0,4025,1636,877,TRTS07_1486_1724,TRES02_2559_6035,THTTP02_177_412
CL03_1268_1833,PL02_648_1691,3,0,0,0,546,87,0,12162,1509,877,TRTS07_1486_1724,TRES05_12576_14735,THTTP04_626_859
CL02_535_1268,PL02_648_1691,3,0,0,0,354,16,0,10324,1530,877,TRTS07_1486_1724,TRES04_9486_12576,THTTP02_177_412
CL02_535_1268,PL04_2484_3223,4,0,0,0,575,11,0,6506,1494,993,TRTS07_1486_1724,TRES03_6035_9486,THTTP03_412_626
CL02_535_1268,PL02_648_1691,50,0,0,0,497,0,98,0,517,573,TRTS03_573_737,TRES01_below_2559,THTTP03_412_626
CL03_1268_1833,PL02_648_1691,8,0,0,0,224,2,0,4531,539,426,TRTS02_426_573,TRES02_2559_6035,THTTP02_177_412
CL03_1268_1833,PL03_1691_2484,6,0,0,0,232,3,0,15511,400,328,TRTS01_below_426,TRES06_14735_17040,THTTP02_177_412
CL03_1268_1833,PL03_1691_2484,5,0,0,0,228,2,0,8973,424,326,TRTS01_below_426,TRES03_6035_9486,THTTP02_177_412
CL06_3062_3812,PL05_3223_4071,64,0,0,0,228,439,0,13870,422,327,TRTS01_below_426,TRES05_12576_14735,THTTP04_626_859
CL03_1268_1833,PL03_1691_2484,2,0,0,0,239,653,0,12677,428,328,TRTS02_426_573,TRES05_12576_14735,THTTP05_859_1130
CL06_3062_3812,PL09_9947_14346,3,0,0,0,235,220,0,17952,442,327,TRTS02_426_573,TRES07_17040_21342,THTTP03_412_626
CL04_1833_2430,PL04_2484_3223,5,0,0,0,276,0,293,27,994,1065,TRTS06_1189_1486,TRES01_below_2559,THTTP02_177_412
CL06_3062_3812,PL05_3223_4071,151,0,0,0,279,0,285,27,994,1057,TRTS06_1189_1486,TRES01_below_2559,THTTP03_412_626
CL04_1833_2430,PL04_2484_3223,257,0,0,0,1089,4,1812,14176,1788,692,TRTS10_3101_up,TRES06_14735_17040,THTTP06_1130_1411
CL06_3062_3812,PL05_3223_4071,17,0,0,0,1517,224,809,32937,1564,706,TRTS09_2020_3101,TRES09_27797_36658,THTTP08_1740_2111
CL02_535_1268,PL02_648_1691,5,0,0,0,323,5,0,19687,1860,678,TRTS08_1724_2020,TRES07_17040_21342,THTTP02_177_412
CL03_1268_1833,PL03_1691_2484,5,0,0,0,217,672,0,37352,1952,707,TRTS08_1724_2020,TRES10_36658_up,THTTP05_859_1130
CL02_535_1268,PL02_648_1691,0,0,0,0,19,0,0,0,1001,233,TRTS05_925_1189,TRES01_below_2559,THTTP01_below_177
CL03_1268_1833,PL04_2484_3223,5,0,0,0,194,740,0,37348,1952,707,TRTS08_1724_2020,TRES10_36658_up,THTTP05_859_1130
CL02_535_1268,PL02_648_1691,2,0,0,0,286,214,0,8702,1158,610,TRTS05_925_1189,TRES03_6035_9486,THTTP03_412_626
CL02_535_1268,PL02_648_1691,0,0,0,0,5,0,0,0,1782,260,TRTS08_1724_2020,TRES01_below_2559,THTTP01_below_177
CL02_535_1268,PL02_648_1691,0,0,0,0,7,0,0,0,1001,233,TRTS05_925_1189,TRES01_below_2559,THTTP01_below_177
CL02_535_1268,PL02_648_1691,0,0,0,0,36,0,0,0,1001,233,TRTS05_925_1189,TRES01_below_2559,THTTP01_below_177
