user_type,intent,domain_type,location_type,importance
crowdsource worker,browsing general,Apps Site,Residential Area,Somewhat Important
crowdsource worker,browsing general,Classifieds,Residential Area,Somewhat Important
crowdsource worker,browsing general,Classifieds,Residential Area,Somewhat Important
crowdsource worker,browsing general,Classifieds,Residential Area,Somewhat Important
crowdsource worker,browsing general,Online Ads Distributor,Residential Area,Somewhat Important
crowdsource worker,browsing general,Uknown / Other,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,Entertainment Site,Commercial Location,Somewhat Important
crowdsource worker,browsing online entertainment,Entertainment Site,Commercial Location,Somewhat Important
crowdsource worker,browsing online entertainment,Entertainment Site,Commercial Location,Somewhat Important
crowdsource worker,browsing online entertainment,Entertainment Site,Commercial Location,Somewhat Important
crowdsource worker,browsing online entertainment,Entertainment Site,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,Entertainment Site,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,Internet Gateway,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,Internet Gateway,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,Internet Gateway,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,Internet Gateway,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,Internet Gateway,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,Internet Gateway,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,Internet Gateway,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,Internet Gateway,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,Internet Gateway,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,Internet Gateway,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,Internet Gateway,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,Internet Gateway,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,Internet Gateway,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,Internet Gateway,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,Internet Gateway,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,Internet Gateway,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,Internet Gateway,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,Internet Gateway,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,Internet Gateway,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,Internet Gateway,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,Internet Gateway,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,Internet Gateway,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,News Site,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,News Site,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,News Site,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,News Site,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,News Site,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,News Site,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,News Site,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,News Site,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,News Site,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,News Site,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,News Site,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,News Site,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,News Site,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,News Site,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,News Site,Residential Area,Somewhat Important
