no	time(min)	type	gender	age range	phone score	web score	immediacy	speed	responsiveness	screen	screen size	site	relevance	ease of use	task 1-1	task 1-2	task1-3	task1-4	mean1	q1-5	device	screen	loading speed	content	design	ease of use	task 2-1	task 2-2	task2-3	task2-4	mean2	q2-5	device	screen	loading speed	content	design	ease of use	task 3-1	task 3-2	task3-3	task3-4	mean3	q3-5	device	screen	loading speed	content	design	ease of use	task 4-1	task 4-2	task4-3	task4-4	mean4	q4-5	device	screen	loading speed	content	design	ease of use	t5-1 (reader)	t6-1 (reader)	t6-1 (buyer)	t6-2 (buyer)	t6-3 (buyer)	t6-4 (buyer)	mean6	t6-5 (buyer)	user (impatient / frastrated)	user (happy / positive)	smartphone ease	user (landscape)
1	20	worker	female	35-39	3	3	4	4	5	5	4	5	3	3	5	5	4	4	4.5	4		1	1				4	4	2	2	3	3		-1	1				4	4	4	4	4	4		1	-1				3	2	2	3	2.5	3			-1		-1													
2	27	buyer	male	35-39	3	3	4	4	4	2	3	3	4	5	1	1	1	3	1.5	1			-1	-1			4	1	3	3	2.75	1		1	1	-1			2	1	2	3	2	1			-1				4	1	3	3	2.75	1				-1					5	1	3	3	3	1	1			
3	22	reader	male	35-39	2	2	4	4	4	4	5	5	5	4	3	3	3	4	3.25	3			-1		-1		4	2	2	4	3	3			-1		-1		3	3	2	4	3	3							4	2	2	4	3	3							4	3										
4	21	user	male	25-29	3	3	5	4	5	3	4	4	3	3	3	3	4	4	3.5	3	-1						2	3	2	3	2.5	2		-1					4	3	4	4	3.75	4							4	3	3	3	3.25	3		-1													1			
5	14	user	female	25-29	4	3	5	4	4	3	3	3	4	4	5	5	4	5	4.75	5			1			1	5	5	5	5	5	5			1	1		1	5	5	2	4	4	4			-1				5	5	5	5	5	5															1			
6	20	reader	female	35-39	3	3	5	5	5	4	3	4	5	5	4	4	4	4	4	4							5	5	5	5	5	5	1	1					3	3	3	3	3	3							4	4	4	4	4	4			-1				5	5								1		
7	35	reader	male	35-39	3	2	4	4	4	4	4	5	5	4	3	3	4	3	3.25	3			-1		-1		4	4	4	4	4	4	1	1			1		4	4	4	3	3.75	4			-1				4	4	4	4	4	4			-1				3	1										
8	20	buyer	male	25-29	3	2	5	3	4	2	3	5	4	5	4	3	4	4	3.75	4	-1				1		4	5	5	5	4.75	5	1		1				3	3	2	3	2.75	3	-1		-1				4	3	4	4	3.75	4			-1						3	3	4	2	3	2				
9	17	worker	male	20-24	1	1	5	4	5	4	4	4	4	3	3	3	2	1	2.25	2					-1		3	1	1	1	1.5	1	-1						3	2	2	1	2	1			-1				2	2	1	3	2	2			-1		1													1
10	17	user	male	50+	3	3	4	5	4	4	5	4	4	5	5	5	4	5	4.75	4			-1				5	5	5	5	5	5	1	1					5	5	4	4	4.5	4	-1	-1					5	5	5	5	5	5		1	1														1	
11	17	user	female	45-49	3	3	4	5	5	5	4	5	5	5	4	3	4	4	3.75	4							5	3	4	4	4	4						1	5	5	5	4	4.75	5							5	5	5	5	5	5																	1	
12	18	buyer	female	40-44	3	3	5	5	5	5	5	5	5	5	4	1	2	2	2.25	2			-1				4	3	4	4	3.75	4			1			1													4	4	4	4	4	4			1	-1					3	4	4	2	3.25	3		1		
13	23	user	female	40-44	3	3	5	5	5	5	5	5	5	5	4	3	3	3	3.25	3				-1	-1		4	4	3	4	3.75	4			1				4	3	2	3	3	3			-1				4	4	3	3	3.5	4			1													1		
14	29	reader	male	30-34	3	2	4	5	5	4	5	5	5	5	5	4	4	4	4.25	4		-1					5	4	4	4	4.25	5					1	1	5	4	3	4	4	3	-1		-1				5	1	4	4	3.5	2					-1		3	1										
15	12	user	male	50+	3	2	5	4	4	4	4	4	5	5	4	4	4	4	4	4	1		1				4	4	4	4	4	4	1		1				4	3	3	3	3.25	3	-1		-1				5	5	5	5	5	5	1		1													1		
16	25	user	female	40-44	4	4	5	5	5	5	2	5	5	5	4	5	4	4	4.25	4				1			5	5	5	5	5	5					1		4	5	1	1	2.75	2				-1			5	5	5	5	5	5				1												1		
17	20	reader	female	25-29	3	2	5	5	5	4	4	3	4	5	5	4	4	3	4	3	-1						5	3	5	5	4.5	4					-1		4	4	5	5	4.5	4	-1		-1				5	4	5	5	4.75	4				-1	-1											1		1
18	17	user	male	45-49	4	4	5	5	5	4	4	4	4	4	5	5	4	4	4.5	4	-1				1		5	5	5	5	5	5			1		1	1	5	5	5	3	4.5	4	-1		-1				5	5	5	5	5	5	1		1														1	1
19	21	buyer	male	35-39	2	2	4	4	4	4	3	4	4	4	4	3	4	4	3.75	4			1	1			4	5	5	5	4.75	5	1		1				4	3	3	4	3.5	4			-1				4	4	5	5	4.5	4			1	1					5	5	5	5	5	5	1			
20	27	user	male	50+	3	2	5	4	4	3	3	3	4	4	4	3	4	5	4	4		1	1	1			5	5	5	5	5	5		1	1	1		1	5	4	4	5	4.5	5				1			5	5	4	4	4.5	4				-1												1		
21	24	user	male	40-44	3	1	5	5	4	3	3	5	5	5	4	2	3	2	2.75	2			-1	-1			5	3	4	3	3.75	4			1				5	5	3	3	4	3			-1				5	3	4	4	4	4																1		1
22	30	reader	male	25-29	2	3	4	5	5	4	4	5	5	4	3	2	2	4	2.75	3				1	1		5	4	5	4	4.5	5						1	1	2	2	4	2.25	2	-1		-1				5	4	5	4	4.5	5							3	3							1			
23	20	reader	female	30-34	4	3	4	5	5	5	4	5	5	5	4	5	5	5	4.75	5			-1				5	5	4	4	4.5	4			-1				4	4	4	4	4	4			-1				5	1	5	5	4	2					-1		5	1							1			
24	11	user	female	35-39	3	3	5	5	5	4	4	5	5	5	4	3	4	4	3.75	4							4	1	4	4	3.25	4							4	4	4	3	3.75	4							4	4	4	4	4	4																		
25	16	user	female	30-34	3	3	5	5	5	5	5	5	5	5	4	5	5	5	4.75	4							4	2	2	1	2.25	3							3	3	5	5	4	4							3	4	5	5	4.25	4																		
26	19	buyer	female	30-34	4	3	5	5	5	5	4	5	4	5	5	4	5	5	4.75	5			-1				5	5	5	5	5	5		1			1		4	3	4	3	3.5	3			-1				4	5	5	4	4.5	4			-1		1				5	5	5	5	5	5			1	
27	42	buyer	male	35-39	3	2	5	5	5	4	4	5	5	5	4	4	4	4	4	4							4	4	4	4	4	4							4	4	4	4	4	4							4	4	4	4	4	4									2	4	5	4	3.75	4				
28	22	buyer	male	35-39	3	2	4	4	4	3	3	4	5	4	3	1	2	3	2.25	2							3	1	2	4	2.5	3																																	2	1	2	4	2.25	3				
29	15	user	female	25-29	4	3	5	5	5	4	4	5	5	5	5	4	3	4	4	4						1	5	5	4	4	4.5	4		-1																	5	4	4	4	4.25	4																		1
30	12	buyer	female	25-29	3	3	3	4	4	4	2	5	5	4													4	4	4	4	4	4			1			1													5	4	4	4	4.25	4						1			3	3	4	4	3.5	3	1			
31	11	user	female	25-29	2	1	4	5	5	4	3	4	4	5													5	4	5	5	4.75	5																			5	4	5	5	4.75	5																		
