uid_type	tabid	tbl_id	pageStartTime	no	type	task	pageOnContentLoad	pageOnLoad	totalTimings	totalReq	totalRes	blocked	dns	connect	send	wait	receive	headerSizeRequest	bodySizeRequest	headerSizeResponse	bodySizeResponse	pageTitle	url
labtest_phone	126	2921	1.47012E+12	1	worker	2	3589	4061	541	279	400	374				167		279		194	206	Amazon Mechanical Turk - Welcome	http://mturk.com/
labtest_phone	126	2922	1.47012E+12	1	worker	2	1422	2497	305	450	11621	23				235	47	450		637	10984	Amazon Mechanical Turk - All HITs	https://www.mturk.com/mturk/findhits?match=&state=
labtest_phone	126	2923	1.47012E+12	1	worker	2	1235	1711	267	489	11930	5				237	25	489		898	11032	Amazon Mechanical Turk - All HITs	https://www.mturk.com/mturk/preview?groupId=
labtest_tablet	468	3151	1.47012E+12	1	worker	1	3480	3929	423	279	400	253				170		279		194	206	Amazon Mechanical Turk - Welcome	http://mturk.com/
labtest_tablet	468	3152	1.47012E+12	1	worker	1	2549	3362	701	654	11321	454			3	237	7	654		637	10684	Amazon Mechanical Turk - All HITs	https://www.mturk.com/mturk/findhits?match=
labtest_tablet	468	3153	1.47012E+12	1	worker	1	1432	1828	278	693	7125	12				255	11	693		673	6452	Amazon Mechanical Turk	https://www.mturk.com/mturk/preview?groupId=
labtest_tablet	468	3154	1.47012E+12	1	worker	1	2492	2627	272	690	11318	8				257	7	690		673	10645	Amazon Mechanical Turk - All HITs	https://www.mturk.com/mturk/findhits?match=
labtest_tablet	468	3155	1.47012E+12	1	worker	1	1400	1920	263	729	11456	16				244	3	729		934	10522	Amazon Mechanical Turk - All HITs	https://www.mturk.com/mturk/preview?groupId=
labtest_tablet	487	3156	1.47012E+12	1	worker	3	2332	2574	350	430	400	185				165		430		194	206	Amazon Mechanical Turk - Welcome	http://mturk.com/
labtest_tablet	487	3157	1.47012E+12	1	worker	3	1576	2100	274	690	11351	6				251	17	690		673	10678	Amazon Mechanical Turk - All HITs	https://www.mturk.com/mturk/findhits?match=
labtest_tablet	492	3158	1.47012E+12	1	worker	3	1796	2016	179	430	400	9				170		430		194	206	Amazon Mechanical Turk - Welcome	http://mturk.com/
labtest_tablet	492	3159	1.47012E+12	1	worker	3	1612	2198	267	690	11379	9				233	25	690		692	10687	Amazon Mechanical Turk - All HITs	https://www.mturk.com/mturk/findhits?match=
labtest_tablet	492	3160	1.47012E+12	1	worker	3	1474	1950	298	729	11509	19				236	43	729		934	10575	Amazon Mechanical Turk - All HITs	https://www.mturk.com/mturk/preview?groupId=
labtest_tablet	492	3161	1.47012E+12	1	worker	3	1181	5165	277	755	7015	6				268	3	755		673	6342	Amazon Mechanical Turk	https://www.mturk.com/mturk/preview?groupId=
labtest_tablet	492	3162	1.47012E+12	1	worker	3	1481	7040	699	729	7049	62				628	9	729		673	6376	Amazon Mechanical Turk	https://www.mturk.com/mturk/preview?groupId=
labtest_tablet	506	3163	1.47012E+12	2	buyer	1	6549		102	282	470	13				89		282		241	229	"Amazon.co.uk: Low Prices in Electronics, Books, Sports Equipment & more"	http://amazon.co.uk/
labtest_tablet	506	3164	1.47012E+12	2	buyer	1	33720		16926	761	133159	132	1	1672		151	14970	761		879	132280	Kindle Paperwhite - Amazon.co.uk	https://www.amazon.co.uk/dp/B00QJDO0QC/ref=gw_eink_musc_1/254-9018555-2815826?pf_rd_m=&pf_rd_s=&pf_rd_r=&pf_rd_t=&pf_rd_p=&pf_rd_i=
