Network Internet,Network Link Speed,Network RSSI,Network Type,Signal Strength
INT1,LSPD10_63_up,RSSI09_n19_n5,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI09_n19_n5,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI09_n19_n5,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI09_n19_n5,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI09_n19_n5,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI09_n19_n5,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI09_n19_n5,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI09_n19_n5,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI09_n19_n5,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI09_n19_n5,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI09_n19_n5,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI09_n19_n5,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI09_n19_n5,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI09_n19_n5,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI09_n19_n5,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI09_n19_n5,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI09_n19_n5,Wifi,SIGS4
INT1,LSPD08_50_55,RSSI05_n55_n48,Wifi,SIGS4
INT1,LSPD08_50_55,RSSI05_n55_n48,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI04_n60_n55,Wifi,SIGS3
INT1,LSPD10_63_up,RSSI04_n60_n55,Wifi,SIGS3
INT1,LSPD10_63_up,RSSI04_n60_n55,Wifi,SIGS3
INT1,LSPD10_63_up,RSSI04_n60_n55,Wifi,SIGS3
INT1,LSPD10_63_up,RSSI04_n60_n55,Wifi,SIGS3
INT1,LSPD10_63_up,RSSI04_n60_n55,Wifi,SIGS3
INT1,LSPD10_63_up,RSSI04_n60_n55,Wifi,SIGS3
INT1,LSPD10_63_up,RSSI04_n60_n55,Wifi,SIGS3
INT1,LSPD10_63_up,RSSI04_n60_n55,Wifi,SIGS3
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS1
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS1
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS1
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS1
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS1
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS1
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS1
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS1
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS1
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS1
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS1
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS1
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS1
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS1
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS1
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS1
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS1
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS1
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS1
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS1
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS1
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS1
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS1
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS1
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS1
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS1
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS1
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI05_n55_n48,Wifi,SIGS4
